cid,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,prob,intensity,lat,lng
99583-99584,3,1,1,0,0,1,0,1,1,3,0,2,0.019562202540117653,13,-23.49415895,-46.421737449999995
83423-83424,2,0,0,0,2,1,0,0,1,0,0,0,0.010051920589890016,6,-23.485100975003455,-46.585328924991856
99057-99051,6,5,0,4,4,3,1,1,0,0,0,1,0.019366076459617666,25,-23.558293955265206,-46.66037461263858
99058-119772,7,4,3,2,1,4,2,1,3,2,0,0,0.02439111991467187,29,-23.55848185,-46.659901899999994
10258-78861,1,2,1,1,2,1,1,0,1,3,0,2,0.024898848179143885,15,-23.539585169191866,-46.45868266760618
6717-6718,1,0,0,1,0,0,0,0,0,1,2,0,0.010276457457752167,5,-23.592831028433842,-46.62101420691288
73979-73977,2,1,0,0,0,0,1,1,0,2,2,2,0.016655137459061255,11,-23.443252432012848,-46.59360695218378
46999-47000,1,0,0,1,1,0,0,2,1,1,0,0,0.01475161470579705,7,-23.61312472770362,-46.492262721943504
7723-119773,1,0,0,0,1,1,1,1,1,0,1,1,0.019073720292890985,8,-23.55864708334189,-46.6594231833354
29743-15870,1,0,2,0,0,1,1,0,2,0,1,0,0.01443909604481338,8,-23.483523858838176,-46.645084899212975
126426-6797,1,2,3,0,3,0,1,0,2,0,1,1,0.01974274851141908,14,-23.5239966,-46.684764200000004
33503-7238,2,2,3,3,4,0,2,0,1,3,2,4,0.024969416909043474,26,-23.580211296985205,-46.50172291987957
5317-5307,4,2,6,2,2,3,1,0,7,4,4,6,0.027486062783123124,41,-23.57061007764365,-46.64406914284861
18627-18628,5,5,2,3,4,5,3,2,0,3,1,3,0.02715246515087081,36,-23.553732011550057,-46.65549543702732
94160-94154,2,1,0,0,1,0,0,0,0,0,0,1,0.010282872796833969,5,-23.57002767683502,-46.47619705914069
102625-124397,2,4,3,3,1,4,2,1,1,4,8,5,0.029475734375485445,38,-23.50221488527329,-46.62495849282213
5416-113453,1,0,2,1,0,2,0,0,0,0,1,1,0.015295085573724661,8,-23.553027502472652,-46.637995301107985
1989-32296,16,12,0,5,12,9,2,1,4,3,5,0,0.024376456282484922,69,-23.548047243292515,-46.638939513748326
70969-70972,3,1,1,1,0,0,0,0,0,0,0,0,0.010267292687635361,6,-23.56868575261146,-46.48592161955817
23333-23476,1,1,1,1,3,3,3,2,0,0,0,2,0.021967954695783855,17,-23.540752010705354,-46.64480511675376
7499-7500,5,2,2,2,4,3,2,1,1,1,1,1,0.029475734375485445,25,-23.54340683689251,-46.725253441370164
21506-57128,1,0,1,0,0,0,0,1,2,0,0,0,0.00937739350929182,5,-23.686663115330013,-46.662498252448486
19210-19212,2,0,0,0,1,0,0,0,0,1,0,1,0.010306701199137716,5,-23.595712205601878,-46.59902043889506
1890-126374,2,0,0,1,1,0,0,0,0,0,1,0,0.010428592641691442,5,-23.554030312551866,-46.62520553769066
11586-11584,1,1,0,1,1,0,0,0,1,0,0,0,0.01273811471113095,5,-23.62302815000023,-46.48376074999828
22813-22815,2,1,1,2,1,3,1,0,0,1,1,2,0.025162793558508475,15,-23.50285195418354,-46.672500209380445
44487-139612,2,0,1,3,1,0,0,0,1,0,0,0,0.012766525498493109,8,-23.60885415000118,-46.72622090000033
5564-5563,10,8,5,4,8,1,4,2,7,12,6,6,0.029475734375485455,73,-23.543639018454734,-46.64415041549756
86275-134191,1,0,2,3,0,0,1,0,0,3,1,0,0.0148258493437433,11,-23.51753303700699,-46.56783455970305
115445-4120,1,1,0,0,2,1,1,1,1,0,0,0,0.016562573280881343,8,-23.67900983904904,-46.64049842196829
112509-28679,2,0,0,0,1,1,0,0,0,0,0,1,0.010226051222109659,5,-23.5023444876747,-46.62459050757947
9832-15039,1,0,0,0,0,1,0,0,0,2,2,0,0.010163730785315258,6,-23.65835133362979,-46.69850847838198
99739-72897,3,0,0,1,1,0,0,0,1,0,1,0,0.01275186186630618,7,-23.512565099523954,-46.43330989406089
5487-6143,1,1,0,3,0,3,1,3,3,3,1,2,0.024124425104272304,21,-23.55254513982794,-46.62811342837071
39383-39384,2,0,1,1,0,0,0,0,1,0,1,1,0.015101708924259678,7,-23.488428115030253,-46.693623825460946
8267-18576,1,1,1,1,1,0,0,0,1,0,1,0,0.017927207551276348,7,-23.55645749122401,-46.62756971403101
33966-33759,1,0,1,1,0,0,0,0,0,0,2,2,0.012778439699644963,7,-23.603624094869325,-46.48166846051301
92914-36689,2,3,3,1,1,3,1,1,0,0,1,1,0.02455516929976305,17,-23.594655901342172,-46.44446932731778
33-7566,6,3,3,3,1,2,1,2,2,2,4,0,0.02697833451865109,29,-23.52715707548142,-46.66584053100092
42593-126189,2,0,2,1,1,3,0,0,1,1,0,0,0.01788046722368052,11,-23.463267290876512,-46.66889863719976
75514-75499,2,1,0,0,1,1,0,1,0,0,0,0,0.012291790406441638,6,-23.65659525479247,-46.792414935370275
6751-6042,9,0,1,7,8,3,1,0,1,2,5,4,0.024912595334319148,41,-23.531577226216456,-46.664052507600076
23286-41985,2,4,0,0,0,1,0,0,0,0,0,0,0.007552687779032297,7,-23.53396918446311,-46.64109288869022
93521-93472,1,1,0,1,0,0,0,0,0,0,1,1,0.012750028912282805,5,-23.588491911049864,-46.39005972602648
88942-41012,3,2,0,1,0,0,2,1,2,1,1,1,0.021607779230192612,14,-23.44482262320147,-46.705419467358695
5451-5452,5,3,1,5,3,0,0,1,0,0,2,1,0.0200910097758583,21,-23.549455249999998,-46.633819
5541-5542,1,2,0,0,0,0,0,0,0,1,1,1,0.012717952216873918,6,-23.539174650341863,-46.64050819686186
47012-47013,1,0,0,0,0,1,0,1,0,1,1,1,0.014650802234511985,6,-23.61286662007219,-46.49202949000507
81657-70699,2,3,7,4,2,4,3,5,6,4,3,7,0.029475734375485445,50,-23.522908829778636,-46.44291819396467
73013-95640,1,0,1,2,0,0,0,0,1,0,0,0,0.010017094463446074,5,-23.561226088862036,-46.40925757071017
62260-62253,1,0,0,1,1,0,0,1,2,1,0,0,0.014751614705797049,7,-23.48246311371839,-46.493218254769545
3380-119278,2,1,0,0,0,3,1,0,0,1,1,0,0.01468471188394425,9,-23.642743462548538,-46.736967454559846
49395-9554,1,2,0,1,0,2,0,0,0,0,0,0,0.010182060325548933,6,-23.684915988510674,-46.64806494934827
3851-3880,1,0,0,0,1,1,0,1,1,0,1,0,0.014628806786231607,6,-23.662256651884455,-46.78006947595935
14307-14308,1,0,0,1,1,1,1,0,1,0,0,1,0.017126206643065987,7,-23.599905587936078,-46.67306273288193
5582-5521,4,5,2,1,1,4,0,1,1,2,3,1,0.02752822072566054,25,-23.546286475001235,-46.64123560000131
72332-75816,1,0,0,0,0,2,0,0,0,1,1,0,0.010163730785315258,5,-23.539727668523234,-46.46289968432532
30093-21428,2,1,6,1,2,3,1,1,1,1,1,0,0.02697833451865108,20,-23.720138413583676,-46.69855286848026
22038-22039,1,0,0,0,0,1,1,1,0,0,2,0,0.011503620176394863,6,-23.55721885645097,-46.62814329082724
2682-2683,2,0,1,0,3,0,1,0,1,0,1,1,0.017169281062615088,10,-23.503613700000002,-46.567265750000004
7889-116682,3,2,0,3,0,0,0,0,0,0,1,0,0.01025262905544846,9,-23.566297253004826,-46.692130498859
120187-5834,6,5,1,7,4,5,1,1,2,1,0,1,0.026888519771506258,34,-23.540739749999993,-46.576607100000004
3422-3423,1,1,0,0,1,0,1,0,1,0,0,0,0.01205625581443931,5,-23.649190531480258,-46.7526294968487
88379-88378,2,1,0,0,1,0,0,0,0,1,0,1,0.012880168647941694,6,-23.454028165913343,-46.7066682838136
134801-1008,4,2,3,2,2,2,0,0,3,3,6,2,0.025538549133298193,29,-23.60155554691041,-46.59927497363495
64895-36689,6,0,3,5,3,4,0,2,2,3,0,2,0.022367538672877326,30,-23.59468225134217,-46.446023627317786
48319-48317,3,0,1,0,0,0,1,1,0,0,3,0,0.011588852538481279,9,-23.765946,-46.6751686
9889-32819,2,0,4,0,1,0,0,1,1,1,0,1,0.017221520252280992,11,-23.63252909763266,-46.64556420174618
113717-14128,1,0,0,0,2,2,1,2,0,0,2,0,0.014253051211441856,10,-23.583433378905163,-46.653220349637365
36446-36447,2,0,4,1,1,0,0,0,1,1,1,1,0.020448435810414476,12,-23.541169608306575,-46.43249683412243
38065-38064,2,3,2,0,3,0,0,2,0,0,2,1,0.017461637229341714,15,-23.75502176197437,-46.66724199047081
59173-892,1,0,0,1,2,0,0,0,0,1,1,0,0.013025888492799197,6,-23.605845350000003,-46.67898235
41138-41133,1,0,0,1,2,0,1,0,0,0,0,0,0.00978889168753718,5,-23.460987298606096,-46.71477447641977
7449-140457,5,3,1,1,2,0,1,1,2,0,3,1,0.02436179265029806,20,-23.529134401653444,-46.73896127629202
114729-114726,2,6,1,2,1,1,1,2,2,1,4,2,0.02947573437548545,25,-23.58398268757302,-46.768596612601364
50093-46991,2,1,0,1,2,0,0,0,0,2,1,0,0.015599355941603199,9,-23.612499973039583,-46.50151777912417
5482-61905,1,1,3,1,2,5,0,0,1,0,1,0,0.02044385342535603,15,-23.548539926331088,-46.64261844724002
69114-69115,1,1,0,1,0,0,0,0,0,0,1,1,0.012750028912282803,5,-23.622729690043492,-46.446398370056826
105675-12372,1,1,1,0,0,1,0,0,0,2,0,2,0.015249261723140563,8,-23.675251564601712,-46.77391262290493
36179-6049,1,1,1,0,0,0,0,1,0,0,1,0,0.012214806337460329,5,-23.540664708068654,-46.648496634975174
2361-32382,1,1,0,0,0,0,1,0,1,1,1,0,0.014491335234479269,6,-23.3979784,-46.76794155
7722-5328,1,2,0,0,0,1,0,0,0,0,1,1,0.012637302239845903,6,-23.548139912180684,-46.649626568948555
1981-23395,1,1,0,1,0,0,0,0,1,0,1,0,0.012575898280063164,5,-23.538032206261466,-46.633682156174174
14288-14299,2,1,1,0,0,2,1,0,0,0,0,0,0.01210207966502342,7,-23.610903795851378,-46.66924103330254
107126-125910,3,0,1,4,3,3,0,0,0,0,0,0,0.01295990214795807,14,-23.70179626855299,-46.79107108264651
5515-125893,4,3,1,1,5,1,1,3,0,3,0,0,0.022067850690057178,22,-23.547866941765008,-46.637086453956876
5524-5522,2,2,1,2,0,2,1,1,0,0,0,3,0.019218523660736786,14,-23.544197249999996,-46.639679400000006
72825-72826,5,4,1,4,0,2,3,5,4,3,1,8,0.026726303340438434,40,-23.543097800000638,-46.42074747500215
20796-7412,1,0,1,0,0,1,0,2,1,1,0,0,0.014491335234479243,7,-23.540599436364957,-46.61016039659765
136638-61739,2,0,0,1,1,1,0,0,0,0,0,0,0.010358023911791905,5,-23.54819365,-46.6260731
32016-9218,3,1,2,1,0,0,0,0,1,0,0,1,0.015087961769084456,9,-23.5443895290837,-46.63287278616727
115432-115433,1,3,0,0,2,1,2,1,1,1,0,0,0.0191598691319891,12,-23.68414097350913,-46.63336720212203
28952-127912,2,2,0,0,1,1,3,0,1,1,0,0,0.017170197539626786,11,-23.49775649357162,-46.39671075101194
140295-5523,4,2,1,1,1,0,1,1,4,2,1,2,0.02695908850140577,20,-23.54294408000774,-46.64093425999645
5507-5626,3,1,3,2,0,1,0,0,1,1,2,0,0.020291718241416807,14,-23.548212769338317,-46.63317301056421
38633-38630,2,1,3,0,0,3,1,0,1,0,1,0,0.017012563493617416,12,-23.742595247360697,-46.65538756703343
141335-5473,13,20,3,2,8,6,3,2,3,5,4,2,0.029475734375485455,71,-23.54613011711337,-46.638912664320365
23321-62518,1,0,1,1,0,0,0,0,2,0,0,0,0.010017094463446077,5,-23.540445868331673,-46.64361109006022
4214-4233,1,0,3,0,0,0,1,0,0,1,0,0,0.009609262193247432,6,-23.64668917564974,-46.64041927374532
31805-47780,1,3,0,0,1,0,2,1,2,0,2,1,0.019130541867615262,13,-23.767677351563226,-46.717034271795086
119354-9209,2,3,2,3,3,2,0,1,0,1,3,3,0.025204951501045833,23,-23.541565339336138,-46.6301818087866
119780-99803,2,0,1,1,1,4,2,0,2,1,1,1,0.02491259533431915,16,-23.566744377132277,-46.650038106552486
47712-52757,2,1,2,2,2,0,0,4,0,0,0,0,0.015006395315044739,13,-23.77373820396688,-46.721046136161405
23272-23337,1,0,0,0,1,0,0,1,1,1,1,0,0.014709456763259647,6,-23.538022082190004,-46.63817650444794
140332-140333,2,1,0,1,0,0,0,0,1,0,2,1,0.015073298136897522,8,-23.586891449999996,-46.3975556
35590-119317,1,0,0,1,0,0,1,0,1,0,0,1,0.011860129733939264,5,-23.581165501066906,-46.557644448572134
33587-33589,2,0,0,1,1,0,3,1,0,2,0,0,0.014375859131007277,10,-23.577298400004075,-46.503559674996254
93300-103256,2,0,1,1,0,1,0,1,3,1,2,3,0.0222053222418095,15,-23.58394784423653,-46.40868541980921
41110-125922,3,5,0,2,0,0,1,1,1,1,2,1,0.021607779230192612,17,-23.441268363936146,-46.71702651065309
1340-110464,3,0,1,0,1,3,1,0,0,0,0,2,0.014775443108100797,11,-23.523645525522916,-46.605886021082995
118379-118380,1,1,1,1,0,1,0,0,1,0,0,0,0.015107207786329813,6,-23.566320233383802,-46.46638753337365
7845-7847,2,1,0,2,1,1,1,0,3,2,1,3,0.024884184546957008,17,-23.561963005932178,-46.63817070211114
114619-860,2,0,2,0,3,0,4,0,3,0,4,1,0.017169281062615088,19,-23.664404185619095,-46.70888036431236
87810-87809,4,0,0,0,1,0,0,0,0,0,0,1,0.007709405348029959,6,-23.455795913600404,-46.67730147178386
128607-24581,3,2,1,2,0,0,0,0,0,0,2,1,0.015351907148448979,11,-23.51023913628063,-46.62483903445026
116246-116245,4,0,3,3,0,0,0,1,2,1,3,0,0.017191276510895373,17,-23.641770861118403,-46.42095300060275
125935-141335,1,4,0,0,1,1,2,0,2,2,2,0,0.019757412143605945,15,-23.54659925,-46.639233149999995
72862-72860,2,2,0,3,4,2,0,0,0,0,1,0,0.015518705964575163,14,-23.541979600940497,-46.41526033784779
8300-8294,3,2,0,1,0,2,0,3,1,2,0,0,0.01709229699363371,14,-23.5590181664623,-46.630756926166015
120018-97098,2,4,1,0,0,0,1,2,2,1,3,0,0.01908288506300777,16,-23.504595925000338,-46.39663280000255
51747-9531,1,0,2,0,0,0,0,0,2,0,0,0,0.007387721916929456,5,-23.669769210170053,-46.670180447845226
4220-4235,1,1,3,0,1,1,0,0,0,1,1,0,0.01808850750533241,9,-23.635017821337833,-46.64126013643218
88986-140923,1,0,0,1,0,0,0,1,2,2,1,0,0.014589398274729265,8,-23.448039937106095,-46.71609209815617
34407-34994,4,1,0,1,3,0,1,1,2,0,0,1,0.01917269981015266,14,-23.576661385936504,-46.516960400162176
20843-18645,2,0,1,0,0,0,1,0,0,2,1,1,0.01469387665406104,8,-23.522496075009357,-46.584423025002216
15131-15129,2,0,3,1,1,1,0,1,1,1,1,2,0.024954753276856544,14,-23.653063611897174,-46.70486926593999
3529-3530,3,2,2,3,2,5,1,1,1,1,5,3,0.02947573437548546,29,-23.623557524107213,-46.76332284516796
38735-38734,1,1,0,1,0,1,0,0,0,1,0,0,0.012779356176656653,5,-23.73336360352588,-46.660497699182216
114691-114692,1,0,0,0,1,0,0,0,0,1,1,1,0.012893915803116949,5,-23.668992199999995,-46.73451215
92296-64907,4,7,8,6,6,1,2,2,3,4,2,3,0.029475734375485448,48,-23.59707145920757,-46.43522881661738
5884-112739,2,1,1,1,2,0,1,1,2,2,2,2,0.026959088501405767,17,-23.552749475001537,-46.626190974995204
23393-23394,2,1,1,0,1,1,0,0,0,0,0,2,0.015401396907079852,8,-23.536386739850663,-46.626278206417894
46998-47014,2,2,2,4,0,1,1,2,0,4,4,2,0.024403034115823716,24,-23.613212211814044,-46.49493643144376
3846-3841,1,1,0,0,0,0,0,0,0,1,1,1,0.012717952216873918,5,-23.6581508811989,-46.76469441843942
54919-55043,1,1,3,1,1,0,1,0,0,1,0,0,0.01756153322361509,9,-23.619959625002178,-46.51131309999694
5402-5403,6,9,6,5,3,4,5,9,5,10,8,6,0.02947573437548545,76,-23.51667215425181,-46.62504479718429
10247-7031,2,0,0,1,0,0,1,1,1,0,0,1,0.013849801326301613,7,-23.54113550045572,-46.47296557726452
23285-23290,1,1,3,2,1,2,2,0,3,3,1,2,0.027486062783123127,21,-23.533337454529324,-46.64159631221615
63548-64185,1,1,0,0,1,2,0,0,0,0,1,1,0.015386733274892903,7,-23.589401500001433,-46.77992560001056
120158-5450,12,9,15,11,6,8,13,12,9,14,15,12,0.029475734375485448,136,-23.55050067379709,-46.63437497087382
21499-21501,2,0,1,1,1,0,0,0,0,0,0,0,0.01044325627387837,5,-23.69673486006551,-46.64960173611317
5296-111014,1,0,0,0,2,2,0,0,0,0,0,1,0.010226051222109662,6,-23.5625802,-46.655230849999995
5522-5523,2,3,1,0,0,5,1,1,3,1,2,0,0.021599530937087486,19,-23.543482630007738,-46.64056375999645
